Perfil,Año,Distancia,Coord_x,Coord_y,Elevacion
1,1976,0,406290.0363,4669574.204,622
1,1976,2.018431621,406290.0883,4669572.186,622
1,1976,4.036863241,406290.1403,4669570.168,622
1,1976,6.055294862,406290.1923,4669568.15,622
1,1976,8.073726482,406290.2443,4669566.133,621.9664917
1,1976,10.0921581,406290.2963,4669564.115,621.8909302
1,1976,12.11058972,406290.3483,4669562.097,621.8123169
1,1976,14.12902134,406290.4003,4669560.079,621.7337646
1,1976,16.14745296,406290.4523,4669558.061,621.6551514
1,1976,18.16588459,406290.5042,4669556.044,621.5765381
1,1976,20.18431621,406290.5562,4669554.026,621.4979858
1,1976,22.20274783,406290.6082,4669552.008,621.4193726
1,1976,24.22117945,406290.6602,4669549.99,621.3408203
1,1976,26.23961107,406290.7122,4669547.973,621.2105713
1,1976,28.25804269,406290.7642,4669545.955,621.2105713
1,1976,30.27647431,406290.8162,4669543.937,621.1921997
1,1976,32.29490593,406290.8682,4669541.919,621.1704102
1,1976,34.31333755,406290.9202,4669539.902,621.1485596
1,1976,36.33176917,406290.9722,4669537.884,621.12677
1,1976,38.35020079,406291.0242,4669535.866,621.1049194
1,1976,40.36863241,406291.0762,4669533.848,621.0831299
1,1976,42.38706403,406291.1282,4669531.831,621.0612793
1,1976,44.40549565,406291.1802,4669529.813,621.0369263
1,1976,46.42392727,406291.2322,4669527.795,621.0082397
1,1976,48.44235889,406291.2842,4669525.777,620.9794922
1,1976,50.46079052,406291.3362,4669523.76,620.8963623
1,1976,52.47922214,406291.3881,4669521.742,620.8676758
1,1976,54.49765376,406291.4401,4669519.724,620.8389282
1,1976,56.51608538,406291.4921,4669517.706,620.8102417
1,1976,58.57752638,406291.6153,4669515.649,620.7789917
1,1976,60.63896739,406291.7385,4669513.591,620.7330322
1,1976,62.7004084,406291.8617,4669511.533,620.6870117
1,1976,64.7618494,406291.9849,4669509.475,620.6691284
1,1976,66.82329041,406292.1081,4669507.417,620.6622314
1,1976,68.88473142,406292.2312,4669505.36,620.6553345
1,1976,70.94617242,406292.3544,4669503.302,620.6483765
1,1976,73.00761343,406292.4776,4669501.244,620.6414795
1,1976,75.06905443,406292.6008,4669499.186,620.6342163
1,1976,77.13049544,406292.724,4669497.129,620.5892334
1,1976,79.19193645,406292.8472,4669495.071,620.5443115
1,1976,81.25337745,406292.9704,4669493.013,620.4993896
1,1976,83.31481846,406293.0935,4669490.955,620.4519043
1,1976,85.37625947,406293.2167,4669488.898,620.3938599
1,1976,87.43770047,406293.3399,4669486.84,620.2676392
1,1976,89.49914148,406293.4631,4669484.782,620.2095947
1,1976,91.56058248,406293.5863,4669482.724,620.1495361
1,1976,93.62202349,406293.7095,4669480.667,620.088562
1,1976,95.6834645,406293.8327,4669478.609,620.0275879
1,1976,97.7449055,406293.9558,4669476.551,619.6473389
1,2001,0,406290.0363,4669574.204,622.5415039
1,2001,2.018431621,406290.0883,4669572.186,622.5275269
1,2001,4.036863241,406290.1403,4669570.168,622.5006714
1,2001,6.055294862,406290.1923,4669568.15,622.394104
1,2001,8.073726482,406290.2443,4669566.133,622.3672485
1,2001,10.0921581,406290.2963,4669564.115,622.3403931
1,2001,12.11058972,406290.3483,4669562.097,622.3135376
1,2001,14.12902134,406290.4003,4669560.079,622.2315674
1,2001,16.14745296,406290.4523,4669558.061,622.1245728
1,2001,18.16588459,406290.5042,4669556.044,622.0175171
1,2001,20.18431621,406290.5562,4669554.026,622
1,2001,22.20274783,406290.6082,4669552.008,622
1,2001,24.22117945,406290.6602,4669549.99,622
1,2001,26.23961107,406290.7122,4669547.973,622
1,2001,28.25804269,406290.7642,4669545.955,622
1,2001,30.27647431,406290.8162,4669543.937,622
1,2001,32.29490593,406290.8682,4669541.919,622
1,2001,34.31333755,406290.9202,4669539.902,622
1,2001,36.33176917,406290.9722,4669537.884,622
1,2001,38.35020079,406291.0242,4669535.866,622
1,2001,40.36863241,406291.0762,4669533.848,622
1,2001,42.38706403,406291.1282,4669531.831,622
